ball_y,ball_angle,paddle_y
258,-166,101
32,200,292
164,533,10
80,501,0
96,-164,238
143,526,-66
86,-165,250
127,521,-164
-20,-167,148
179,-159,46
67,-161,216
279,-168,124
267,239,169
-116,118,-134
236,-163,55
236,-163,51
236,-163,101
236,-163,83
236,-163,50
236,-163,65
236,-163,50
236,-163,55
198,170,33
3,153,-128
-275,206,126
185,-172,303
185,-172,304
185,-172,263
185,-172,289
185,-172,297
185,-172,299
185,-172,252
185,-172,297
-20,180,-5
-215,155,42
-70,201,204
-205,-134,-32
-9,231,-214
-258,-153,121
221,480,-2
-59,196,155
223,-150,-129
-185,201,163
-90,134,254
207,252,155
207,252,193
207,252,235
207,252,246
207,252,276
207,252,314
207,252,238
67,175,-18
74,-147,-15
-234,167,-163
179,509,-298
-267,218,177
132,145,-197
217,113,-64
62,128,247
275,151,-169
-100,-212,47
59,-186,-36
-116,154,-83
-30,463,100
-236,-112,76
219,204,-42
-19,175,-57
-136,202,156
-132,520,-160
59,-190,-110
235,546,235
32,140,5
32,140,35
32,140,84
167,546,209
-95,-158,214
86,561,133
173,494,119
173,494,113
173,494,73
173,494,91
173,494,121
173,494,170
173,494,125
173,494,162
173,494,171
173,494,244
173,494,212
0,183,77
-71,197,140
265,557,70
-230,194,-31
90,-148,-28
-166,173,-219
170,218,-227
11,215,5
-175,155,-11
23,-194,-152
-98,-169,22
33,515,-248
-23,-140,3
-47,226,-218
-93,160,-177
-125,224,-37
-203,192,27
80,206,91
161,-166,258
-56,-147,153
4,240,145
-115,-104,-253
-115,-104,-179
-147,462,-54
261,225,-109
-49,111,207
-218,-133,-67
-232,135,111
-78,185,36
-121,212,248
-121,212,218
-121,212,193
-121,212,122
-121,212,148
-121,212,103
-12,144,11
0,195,158
44,-99,-268
44,-99,-258
44,-99,-201
-258,-113,67
-235,199,47
239,-203,-109
59,-172,158
-46,144,20
145,489,231
-205,-111,31
243,106,-162
243,106,-200
243,106,-224
42,231,-133
93,486,125
-93,229,-200
-157,154,-32
239,530,73
83,202,181
-168,185,-95
49,-159,259
49,-159,207
49,-159,219
49,-159,187
49,-159,191
49,-159,206
49,-159,147
49,-159,195
100,194,234
147,214,-94
-33,141,103
240,499,-100
-18,-157,247
-35,-166,133
245,-197,1
-70,138,186
160,-103,2
160,-103,46
-55,-118,179
-55,-118,229
-55,-118,206
-55,-118,247
-55,-118,266
-55,-118,296
-55,-118,242
-55,-118,271
-55,-118,220
-55,-118,242
-55,-118,191
-55,-118,232
-55,-118,216
-55,-118,165
-55,-118,152
-55,-118,176
-55,-118,131
-20,163,-184
95,136,82
82,-191,-61
-94,147,52
20,-203,-288
-221,181,-199
78,-199,-157
277,229,14
257,141,-242
-225,466,82
80,-137,-230
11,199,228
-50,-171,116
-235,204,155
-60,158,-194
123,-183,61
-207,161,-92
165,534,54
-117,180,-111
-195,159,-31
-12,-140,-43
